Asset_ID,Asset_Type,Manufacturer,Model,Serial_Number,Assigned_Employee_ID,Employee_Name,Department,Work_Location,Purchase_Date,Warranty_Expiry,OS_or_Firmware,Device_Status,Encryption,Defender_Status,Patch_Status,Last_Patch_Date,Last_Audit_Date,Warranty_Status,Compliance_Status,Notes
UE-LT-001,Laptop,Dell,Latitude 5440,SNUE10001,UE001,Demo Employee 01,Management,Pooraka Head Office,45306,46401,Windows 11 Pro,Active,Enabled,Healthy,Current,46259,46254,Active,Compliant,Primary employee device
UE-LT-002,Laptop,HP,ProBook 440 G10,SNUE10002,UE002,Demo Employee 02,Management,Pooraka Head Office,45335,46430,Windows 11 Pro,Active,Enabled,Healthy,Current,46256,46252,Active,Compliant,Primary employee device
UE-LT-003,Laptop,Lenovo,ThinkPad T14 Gen 4,SNUE10003,UE003,Demo Employee 03,Management,Pooraka Head Office,45364,46459,Windows 11 Pro,Active,Enabled,Healthy,Current,46253,46250,Active,Compliant,Primary employee device
UE-LT-004,Laptop,Dell,Latitude 7440,SNUE10004,UE004,Demo Employee 04,Administration,Pooraka Head Office,45393,46488,Windows 11 Pro,Active,Enabled,Healthy,Current,46250,46248,Active,Compliant,Primary employee device
UE-LT-005,Laptop,HP,EliteBook 840 G10,SNUE10005,UE005,Demo Employee 05,Administration,Pooraka Head Office,45422,46517,Windows 11 Pro,Active,Enabled,Healthy,Current,46247,46246,Active,Compliant,Primary employee device
UE-LT-006,Laptop,Dell,Latitude 5440,SNUE10006,UE006,Demo Employee 06,Administration,Pooraka Head Office,45451,46546,Windows 11 Pro,Active,Enabled,Healthy,Overdue,46244,46244,Active,Attention,Primary employee device
UE-LT-007,Laptop,HP,ProBook 440 G10,SNUE10007,UE007,Demo Employee 07,Administration,Pooraka Head Office,45480,46575,Windows 11 Pro,Active,Enabled,Healthy,Current,46241,46242,Active,Compliant,Primary employee device
UE-LT-008,Laptop,Lenovo,ThinkPad T14 Gen 4,SNUE10008,UE008,Demo Employee 08,Sales,Pooraka Head Office,45509,46604,Windows 11 Pro,Active,Not Enabled,Healthy,Current,46238,46240,Active,Attention,Primary employee device
UE-LT-009,Laptop,Dell,Latitude 7440,SNUE10009,UE009,Demo Employee 09,Sales,Pooraka Head Office,45538,46633,Windows 11 Pro,Active,Enabled,Healthy,Current,46235,46238,Active,Compliant,Primary employee device
UE-LT-010,Laptop,HP,EliteBook 840 G10,SNUE10010,UE010,Demo Employee 10,Sales,Pooraka Head Office,45567,46662,Windows 11 Pro,Active,Enabled,Healthy,Current,46257,46236,Active,Compliant,Primary employee device
UE-LT-011,Laptop,Dell,Latitude 5440,SNUE10011,UE011,Demo Employee 11,Sales,Pooraka Head Office,45596,46691,Windows 11 Pro,Active,Enabled,Healthy,Current,46254,46234,Active,Compliant,Primary employee device
UE-LT-012,Laptop,HP,ProBook 440 G10,SNUE10012,UE012,Demo Employee 12,Sales,Pooraka Head Office,45625,46720,Windows 11 Pro,Active,Enabled,Attention,Current,46251,46232,Active,Attention,Primary employee device
UE-LT-013,Laptop,Lenovo,ThinkPad T14 Gen 4,SNUE10013,UE013,Demo Employee 13,Finance,Pooraka Head Office,45654,46749,Windows 11 Pro,Active,Enabled,Healthy,Overdue,46248,46230,Active,Attention,Primary employee device
UE-LT-014,Laptop,Dell,Latitude 7440,SNUE10014,UE014,Demo Employee 14,Finance,Pooraka Head Office,45683,46778,Windows 11 Pro,Active,Enabled,Healthy,Current,46245,46228,Active,Compliant,Primary employee device
UE-LT-015,Laptop,HP,EliteBook 840 G10,SNUE10015,UE015,Demo Employee 15,Finance,Pooraka Head Office,45712,46807,Windows 11 Pro,Active,Enabled,Healthy,Current,46242,46226,Active,Compliant,Primary employee device
UE-LT-016,Laptop,Dell,Latitude 5440,SNUE10016,UE016,Demo Employee 16,Estimating & Planning,Pooraka Head Office,45741,46836,Windows 11 Pro,Active,Enabled,Healthy,Current,46239,46224,Active,Compliant,Primary employee device
UE-LT-017,Laptop,HP,ProBook 440 G10,SNUE10017,UE017,Demo Employee 17,Estimating & Planning,Pooraka Head Office,45770,46865,Windows 11 Pro,Active,Enabled,Healthy,Current,46236,46222,Active,Compliant,Primary employee device
UE-LT-018,Laptop,Lenovo,ThinkPad T14 Gen 4,SNUE10018,UE018,Demo Employee 18,Estimating & Planning,Pooraka Head Office,45799,46894,Windows 11 Pro,Active,Enabled,Healthy,Current,46258,46220,Active,Compliant,Primary employee device
UE-LT-019,Laptop,Dell,Latitude 7440,SNUE10019,UE019,Demo Employee 19,Estimating & Planning,Pooraka Head Office,45828,46923,Windows 11 Pro,Active,Enabled,Healthy,Overdue,46255,46253,Active,Attention,Primary employee device
UE-LT-020,Laptop,HP,EliteBook 840 G10,SNUE10020,UE020,Demo Employee 20,Construction & Project Management,Pooraka Head Office,45857,46952,Windows 11 Pro,Active,Not Enabled,Healthy,Current,46252,46251,Active,Attention,Primary employee device
UE-LT-021,Laptop,Dell,Latitude 5440,SNUE10021,UE021,Demo Employee 21,Construction & Project Management,Prospect Project,45886,46981,Windows 11 Pro,Active,Enabled,Healthy,Current,46249,46249,Active,Compliant,Primary employee device
UE-LT-022,Laptop,HP,ProBook 440 G10,SNUE10022,UE022,Demo Employee 22,Construction & Project Management,Para Hills Project,45915,47010,Windows 11 Pro,Active,Enabled,Healthy,Current,46246,46247,Active,Compliant,Primary employee device
UE-LT-023,Laptop,Lenovo,ThinkPad T14 Gen 4,SNUE10023,UE023,Demo Employee 23,Construction & Project Management,Prospect Project,45944,47039,Windows 11 Pro,Active,Enabled,Healthy,Current,46243,46245,Active,Compliant,Primary employee device
UE-LT-024,Laptop,Dell,Latitude 7440,SNUE10024,UE024,Demo Employee 24,Construction & Project Management,Para Hills Project,45973,47068,Windows 11 Pro,Active,Enabled,Healthy,Current,46240,46243,Active,Compliant,Primary employee device
UE-LT-025,Laptop,HP,EliteBook 840 G10,SNUE10025,UE025,Demo Employee 25,Construction & Project Management,Morphett Vale Project,45322,46417,Windows 11 Pro,Active,Enabled,Attention,Current,46237,46241,Active,Attention,Primary employee device
UE-LT-026,Laptop,Dell,Latitude 5440,SNUE10026,UE026,Demo Employee 26,Construction & Project Management,Remote / Mobile,45351,46446,Windows 11 Pro,Active,Enabled,Healthy,Overdue,46259,46239,Active,Attention,Primary employee device
UE-LT-027,Laptop,HP,ProBook 440 G10,SNUE10027,UE027,Demo Employee 27,Marketing,Pooraka Head Office,45380,46475,Windows 11 Pro,Active,Enabled,Healthy,Current,46256,46237,Active,Compliant,Primary employee device
UE-LT-028,Laptop,Lenovo,ThinkPad T14 Gen 4,SNUE10028,UE028,Demo Employee 28,Marketing,Pooraka Head Office,45409,46504,Windows 11 Pro,Active,Not Enabled,Healthy,Current,46253,46235,Active,Attention,Primary employee device
UE-LT-029,Laptop,Dell,Latitude 7440,SNUE10029,UE029,Demo Employee 29,IT & Operations,Pooraka Head Office,45438,46533,Windows 11 Pro,Active,Enabled,Healthy,Current,46250,46233,Active,Compliant,Primary employee device
UE-LT-030,Laptop,HP,EliteBook 840 G10,SNUE10030,UE030,Demo Employee 30,IT & Operations,Pooraka Head Office,45467,46562,Windows 11 Pro,Active,Enabled,Healthy,Current,46247,46231,Active,Compliant,Primary employee device
UE-MB-001,Mobile Phone,Apple,iPhone 15,IMEI-DEMO-3001,UE001,Demo Employee 01,Management,Pooraka Head Office,45710,46440,iOS 19,Active,Enabled,Healthy,Current,46264,46262,Active,Compliant,Company mobile
