Priority,Initiative,Problem / Evidence,Recommended Action,Business Benefit,Effort,Owner,Timeframe,Success Metric,Status
P1,Resolve endpoint compliance exceptions,"Asset register includes encryption, Defender and patch exceptions",Remediate non-compliant devices and establish weekly exception review,Reduces avoidable security and support risk,Low,IT,0–30 days,95%+ device compliance,Not Started
P1,Close overdue access reviews,User access register includes overdue and Review exceptions,Validate with managers and remove unnecessary permissions,Reduces unauthorised or excessive access,Low,IT + Managers,0–30 days,0 overdue high-risk reviews,Not Started
P1,Document backup restore testing,Security review shows restore testing is not documented,"Define backup owner, retention and quarterly restore test",Improves recovery confidence,Medium,IT,0–30 days,Successful documented restore test,Not Started
P2,Create self-service knowledge base,Repeated support categories can generate repeat tickets,"Publish guides for MFA, Outlook, OneDrive, printers and project-folder access",Reduces repeat low-complexity tickets,Low,IT,0–30 days,10 published articles; repeat tickets trend down,Not Started
P2,Standardise starter/leaver process,Manual onboarding and offboarding can miss access or licences,Use one approved checklist and sign-off workflow,Improves security and first-day readiness,Low,IT + Admin,0–30 days,100% checklist completion,Not Started
P2,Formalise ticket intake,Requests may arrive by phone/email/walk-up,"Use one intake channel with ticket ID, category and priority",Improves visibility and prioritisation,Medium,IT,30–60 days,90%+ support requests logged,Not Started
P2,Quarterly asset audit,Asset ownership changes over time,"Reconcile device owner, location, status and warranty each quarter",Improves asset accountability,Low,IT,Quarterly,98%+ asset record accuracy,Not Started
P3,Build management dashboard,Operational data is difficult to interpret in raw tables,"Publish monthly helpdesk, asset and security KPI dashboard",Supports evidence-based decisions,Medium,IT / Analytics,30–60 days,Monthly dashboard delivered,Not Started
P3,Review software licences,Unused licences may remain after role changes,Compare assigned licences with active users and reclaim unused licences,Reduces software cost,Low,IT + Finance,30–60 days,Unused licences reduced,Not Started
P3,Security awareness cadence,Phishing knowledge is often inconsistent,Annual training plus short quarterly reminders,Reduces phishing risk,Medium,IT + Admin,60–90 days,Training completion >95%,Not Started
